date,OT,Radia,EquiT,EnvT,Press,Humility
2020/1/2 19:00,0,0,4.80249,11,1038.27636,92.5867
2020/1/2 19:15,0,0,4.80249,10.5,1038.17538,93.627
2020/1/2 19:30,0,0,4.99851,10.1,1038.17538,93.627
2020/1/2 19:45,0,0,4.80249,9.7,1038.27636,93.627
2020/1/2 20:00,0,0,4.99851,9.1,1038.27636,94.6673
2020/1/2 20:15,0,0,4.80249,9.5,1038.37734,95.7076
2020/1/2 20:30,0,0,4.80249,9.5,1038.37734,95.7076
2020/1/2 20:45,0,0,5.39055,8.4,1038.37734,95.7076
2020/1/2 21:00,0,0,5.39055,8.3,1038.5793,95.7076
2020/1/2 21:15,0,0,5.09652,8,1038.68028,96.7479
2020/1/2 21:30,0,0,4.80249,7.9,1038.68028,96.7479
2020/1/2 21:45,0,0,4.60647,8.1,1038.68028,96.7479
2020/1/2 22:00,0,0,4.21443,8.5,1038.78126,97.7882
2020/1/2 22:15,0,0,4.21443,8.6,1038.88224,97.7882
2020/1/2 22:30,0,0,3.62637,8.7,1038.98322,97.7882
2020/1/2 22:45,0,0,3.52836,8.6,1038.98322,97.7882
2020/1/2 23:00,0,0,3.72438,8.9,1038.88224,97.7882
2020/1/2 23:15,0,0,3.72438,8.4,1038.88224,98.8285
2020/1/2 23:30,0,0,3.33234,8.2,1038.68028,98.8285
2020/1/2 23:45,0,0,3.23433,8.1,1038.5793,99.8688
2020/1/3 0:00,0,0,3.82239,7.9,1038.47832,99.8688
2020/1/3 0:15,0,0,3.52836,8.1,1038.47832,99.8688
2020/1/3 0:30,0,0,3.62637,7.9,1038.17538,99.8688
2020/1/3 0:45,0,0,3.52836,7.8,1038.0744,99.8688
2020/1/3 1:00,0,0,3.72438,7.7,1038.17538,99.8688
2020/1/3 1:15,0,0,3.43035,7.7,1038.37734,100.9091
2020/1/3 1:30,0,0,3.43035,7.6,1038.47832,100.9091
2020/1/3 1:45,0,0,2.64627,7.9,1038.47832,100.9091
2020/1/3 2:00,0,0,2.25423,7.4,1038.47832,101.9494
2020/1/3 2:15,0,0,2.35224,7.2,1038.68028,101.9494
2020/1/3 2:30,0,0,2.35224,7.7,1038.5793,101.9494
2020/1/3 2:45,0,0,2.54826,7.6,1038.68028,101.9494
2020/1/3 3:00,0,0,2.15622,7.3,1038.47832,101.9494
2020/1/3 3:15,0,0,1.76418,7.7,1038.37734,102.9897
2020/1/3 3:30,0,0,1.27413,7.7,1038.47832,102.9897
2020/1/3 3:45,0,0,1.07811,7.5,1038.5793,102.9897
2020/1/3 4:00,0,0,0.58806,7.4,1038.5793,102.9897
2020/1/3 4:15,0,0,0.29403,7.6,1038.47832,101.9494
2020/1/3 4:30,0,0,0,7.7,1038.47832,101.9494
2020/1/3 4:45,0,0,-0.09801,7.6,1038.47832,101.9494
2020/1/3 5:00,0,0,0.39204,7.7,1038.37734,101.9494
2020/1/3 5:15,0,0,0.39204,7.9,1038.37734,100.9091
2020/1/3 5:30,0,0,0.39204,8,1038.37734,99.8688
2020/1/3 5:45,0,0,0.58806,7.6,1038.47832,99.8688
2020/1/3 6:00,0,0,0.58806,7.7,1038.5793,98.8285
2020/1/3 6:15,0,0,0.39204,7.1,1038.5793,97.7882
2020/1/3 6:30,0,0,-0.09801,7.3,1038.68028,97.7882
2020/1/3 6:45,0,0,-0.39204,7.2,1038.5793,96.7479
2020/1/3 7:00,0,0,-0.39204,7.3,1038.78126,81.1434
2020/1/3 7:15,0,0,-0.29403,6.9,1038.78126,79.0628
2020/1/3 7:30,0.7107,3,0.09801,6.8,1038.88224,76.9822
2020/1/3 7:45,3.5533,31,0.19602,6.9,1038.88224,75.9419
2020/1/3 8:00,5.6853,119,0.88209,7.7,1039.0842,73.8613
2020/1/3 8:15,7.9949,187,1.86219,7.7,1038.98322,71.7807
2020/1/3 8:30,10.4822,258,2.64627,8.5,1038.88224,70.7404
2020/1/3 8:45,21.4975,332,3.23433,9.5,1038.68028,69.7001
2020/1/3 9:00,31.0914,404,4.01841,10.4,1038.88224,68.6598
2020/1/3 9:15,37.4873,466,4.50846,10.7,1038.78126,68.6598
2020/1/3 9:30,41.929,543,5.68458,11.1,1038.98322,67.6195
2020/1/3 9:45,45.4823,596,5.78259,11.9,1038.88224,66.5792
2020/1/3 10:00,46.7259,635,5.68458,12.7,1038.68028,66.5792
2020/1/3 10:15,48.2361,668,5.97861,12.9,1038.5793,66.5792
2020/1/3 10:30,51.7894,692,6.66468,13.5,1038.37734,65.5389
2020/1/3 10:45,54.632,720,8.52687,14.2,1038.17538,65.5389
2020/1/3 11:00,57.83,774,9.40896,14.4,1037.87244,65.5389
2020/1/3 11:15,59.962,838,9.70299,14.4,1037.5695,65.5389
2020/1/3 11:30,60.3173,846,9.21294,14.4,1037.26656,65.5389
2020/1/3 11:45,60.7615,852,12.05523,14.5,1036.76166,65.5389
2020/1/3 12:00,62.4493,871,17.73981,14.9,1036.35774,65.5389
2020/1/3 12:15,62.5381,891,19.20996,15,1036.15578,64.4986
2020/1/3 12:30,61.6498,889,19.01394,15.2,1035.75186,64.4986
2020/1/3 12:45,60.0508,880,22.05225,15.1,1035.34794,64.4986
2020/1/3 13:00,57.6523,845,20.97414,15.5,1035.34794,64.4986
2020/1/3 13:15,55.5203,828,20.09205,15.6,1034.94402,64.4986
2020/1/3 13:30,53.4772,794,20.68011,15.8,1034.84304,63.4583
2020/1/3 13:45,50.5457,757,17.34777,16.1,1034.74206,63.4583
2020/1/3 14:00,46.7259,700,19.01394,16.1,1034.33814,62.418
2020/1/3 14:15,43.3503,666,21.5622,16.3,1034.33814,62.418
2020/1/3 14:30,37.7538,601,18.81792,16.4,1034.33814,61.3777
2020/1/3 14:45,36.2437,587,19.89603,16.4,1034.33814,60.3374
2020/1/3 15:00,31.6244,527,19.50399,16.6,1034.33814,59.2971
2020/1/3 15:15,25.9391,473,19.50399,16.6,1034.33814,58.2568
2020/1/3 15:30,15.5457,400,18.81792,16.6,1034.13618,58.2568
2020/1/3 15:45,9.1498,327,10.38906,16.7,1034.0352,57.2165
2020/1/3 16:00,7.1954,265,9.60498,16.3,1034.23716,56.1762
2020/1/3 16:15,4.7081,198,8.91891,15.9,1034.5401,56.1762
2020/1/3 16:30,2.3985,102,8.03682,15.2,1034.43912,55.1359
2020/1/3 16:45,1.066,52,6.8607,14.7,1034.5401,54.0956
2020/1/3 17:00,0,13,6.17463,14.3,1034.74206,54.0956
2020/1/3 17:15,0,0,5.78259,14.1,1034.84304,53.0553
2020/1/3 17:30,0,0,5.58657,14.1,1035.24696,52.015
2020/1/3 17:45,0,0,5.48856,13.5,1035.34794,52.015
2020/1/3 18:00,0,0,5.29254,13.1,1035.34794,52.015
2020/1/3 18:15,0,0,4.80249,12.7,1035.44892,53.0553
2020/1/3 18:30,0,0,4.80249,12.1,1035.34794,53.0553
2020/1/3 18:45,0,0,5.09652,12.2,1035.5499,54.0956
2020/1/3 19:00,0,0,5.48856,11.9,1035.44892,54.0956
2020/1/3 19:15,0,0,4.70448,12.2,1035.65088,54.0956
2020/1/3 19:30,0,0,4.41045,11.8,1035.85284,55.1359
2020/1/3 19:45,0,0,4.50846,11.5,1035.85284,56.1762
2020/1/3 20:00,0,0,4.50846,11.1,1035.75186,57.2165
2020/1/3 20:15,0,0,4.60647,10.9,1035.65088,58.2568
2020/1/3 20:30,0,0,4.31244,10.7,1035.75186,59.2971
2020/1/3 20:45,0,0,4.11642,10.6,1035.95382,60.3374
2020/1/3 21:00,0,0,3.72438,10.3,1035.95382,61.3777
